"cloud computing,microsoft exchange server,vmware,web application,virtualization,operating system",vmware server virtual oracle update virtualization application infrastructure management microsoft
"conservative democrat,democratic party (united states),presidential nominee,bill clinton",obama mccain campaign john barack president senator candidate convention clinton
"windows 10,windows 8.1,operating system,windows 8,internet explorer,windows server 2003,windows 2000,windows 7,microsoft office,microsoft visual studio",file windows software server version install user microsoft application support
"pc card,operating system,flash memory,motherboard,desktop computer,personal computer,microprocessor,usb",drive computer card laptop memory battery usb intel processor hard
"xbox one,xbox 360,virtual console,wii,xbox (console),video game console",game play video xbox 360 wii gaming player release nintendo
"election,electoral college,by-election,general election,primary election",vote house election poll bill republican party voter candidate senate
"hospital,patient,health,medicine,neurology,oncology,cancer",health patient medical doctor hospital disease cancer care drug study
"cooking,pasta,barbecue sauce",food eat cook chicken recipe cup cheese add taste tomato
"son of god,catholicism,holy spirit (christianity),baptism,faith,christian theology,sacrament,god the father,christian church,christianity",god church jesus christian faith lord christ catholic give prayer
"olympic gold,summer olympic games,winter olympic games,2008 summer olympics,olympic sports,2004 summer olympics,olympic games,2012 summer olympics",china chinese olympics gold olympic team win beijing medal sport
"conservative democrat,sarah palin",palin sarah mccain alaska governor president republican woman john vice
"blue,black",look white color black red hair blue light green eye
"investment banking,subprime mortgage crisis,great recession,capital market,financial crisis,refinancing,financial services",financial bank market government mortgage bailout billion street wall crisis
"weight loss,appetite,weight management,dieting,diet (nutrition),obesity,eating,saturated fat",weight body fat diet food health eat exercise loss healthy
"front-wheel drive,engine,automatic transmission",car power vehicle seat rear wheel engine drive air front
"internet,web portal,google search,mobile app,website,web browser,user-generated content,google analytics,social networking service,adsense",site web google search website online internet social content user
"biofuel,petroleum,diesel fuel,energy development,fossil fuel,natural gas,biomass,alternative energy",oil energy gas water power fuel global price plant natural
gene expression,cell gene protein function study elegan expression mutant suggest brain
"mobile device,mobile web,android (operating system),smartphone,mobile phone",phone mobile iphone device internet service google app read source
"rock music,the band,album",music song band album play sound rock track guitar listen
playoffs,game team run hit season win baseball sox pitch start
"father,brother",family brother die sister father mother dad tell son wife
"state prosecutor,grand jury,indictment,jury trial,criminal law,acquittal,state court (united states),superior court,judiciary,district court",court law case police charge legal judge crime report federal
"footwear,shoe",size shoe bag wear pair fit foot pocket leather weight
"primary education,school,secondary education,matriculation,university,high school,student,graduate school,graduate,teacher,education,private school",school student university college teacher class education learn high program
"player-coach,football team,championship,professional football (gridiron)",game team season play football player win week fan coach
"grocery store,coupon,sales,buyer,costco,supermarket,purchasing",store sell sale item buy coffee shop price box gift
"marketing,business development,industry,supply chain management,project management,technical support,business,technology company,business model,risk management",business company technology product customer service provide management development system
